Name,Address,Phone,ContactName,EmailAddress,Website,Details,Services,AgeRequirements,OperationTime
Muscle Shoals Living Center,994 Gattman Park DriveMuscle Shoals AL 35661,(256) 386-9280,Janet Nichols,NOMAIL,http://www.cityofmuscleshoals.com,If you are sixty years of age or older and young at heart the Living Center is for you! Established in 1983 the center began with a small room located in the Recreation Center. In 1988 the seniors moved into a new building the Frank G. Little Senior Center named in memory of Frank G. Little who served as a long time City Clerk of Muscle Shoals for 22 years. The center offers weekly fellowship and activities for senior adults. Seniors may participate in games of Hand &amp; Foot Bingo Rook skip-bo dominoes checkers or a friendly game of pool. For those who prefer to participate in non-competitive activities the center offers ceramics a reading area and art classes. An exercise program is offered for those who desire a type of physical activity. Educational programs on topics such as nutrition depression stress and safety are often scheduled at the center. The center also serves lunch daily for a nominal donation. For those senior adults who may qualify for the service the center offers a home-bound lunch program. This program allows those who are unable to visit the center to receive a well-balanced meal in their home. The center offers a covered dish dinner each month. Members participate by contributing their favorite dish or dessert to the dinner and enjoying an evening of fellowship with friends of the center. The senior adults of the center host the "Bean Supper" a semi-annual social-fund raiser event held in the Spring and Fall of each year. The seniors have become well known for this popular event in the community. The supper includes beans slaw cornbread desserts and beverages all prepared and served by the members of the center.,,Hand &amp; Foot; Bingo; Rook; Skip-Bo; Dominoes; Checkers; Pool; Ceramics; Art Classes; Exercise Program; Educational Programs (Nutrition Depression Stress and Safety); Lunch; Home-Bound Lunch; Covered Dish Dinner,60+ years,Mon - Fri: 8:00 am - 2:00 pm
New Brockton Senior Center,130 Vester Cole StNew Brockton AL 36351,(334) 894-2028,Leda Green,newbsc@troycable.net,https://www.newbrocktonal.org/,,,Hot Meals; Home Delivered Meals; Transportation; Dominos; Bingo; Table Games,60+ years,Mon - Fri: 9:00 am - 3:00 pm
New Hope Senior Center,123 Church StreetNew Hope AL 35760,(256) 723-2208,Dean Manley,NOMAIL,http://www.cityofnewhope.org/,The New Hope Senior Center offers a unique combination of enrichment programs and care services for people 60 years of age or better. Our goal is to foster community involvement enhance dignity and support independence for all participants.,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon - Fri: 8:00 am - 1:00 pm
New Market Senior Center,3687 Winchester RdNew Market AL 35761,(256) 379-2877,Heather Simmons,NOMAIL,"data-table",,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,
Newton Senior Center,25 E King StreetNewton AL 36352,(334) 299-3861,Carol Richburg,newtonseniors@gmail.com,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Dominoes; Cards; Puzzles; Quilting; Exercise Sessions; Crafts; Fellowship; Field Trips; Public Education; Entertainment; Health Screenings; Picnic and Fishing Trips; Thanksgiving &amp; Christmas Luncheons,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Newville Senior Center,481 Bowden StreetNewville AL 36353,(334) 889-2250,Betty Rowland,newvillesc@gmail.com,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Breakfast; Bingo; Dominoes; Sewing; Quilting; Exercise; Field trips; Valentine Banquet; Thanksgiving &amp; Christmas Luncheons,60+ years,Mon - Fri: 8:00 am - 3:00 pm
Cecil R. Langford Multipurpose Senior Center,801 Cemetery RoadNotasulga AL 36866,(334) 257-4111,Mary Godfrey,notasulganc@gmail.com,https://www.notasulgaal.com/,The Cecil R. Langford Nutrition Center is located at 801 Cemetery Road Notasulga Alabama and is open Monday through Friday from 8:30 a.m. to 12:30 p.m. The Cecil R. Langford Nutrition Center includes board games movies social gathering warm lunch and fitness/ nutrition information from Nutrition Center Manager.,,Board Games; Movies; Social Gathering; Lunch; Fitness/Nutrition Information,,Mon - Fri: 8:30 am - 12:30 pm
Oak Grove Senior Center,2364 Forest Glen RoadOak Grove AL 35150,(256) 249-3638,Debbie Reynolds,oakgrovesenior@townofoakgrove.org,http://townofoakgrove.org/,,,Congregate Nutritional Meals; Homebound Meals; Crafts Games and Trips; Quilting Fellowship,,Mon - Fri: 9:00 am - 2:00 pm
Oakman Senior Center,8250 Oakman Parrish Rd.Oakman AL 35579,(205) 622-3197,,NOMAIL,"data-table",,,Congregate Meals; Home Delivered Meals; Activities,,Mon - Fri: 8:00 am - 1:00 pm
Odenville Senior Center,183 Alabama StreetOdenville AL 35120,(205) 629-5351,,NOMAIL,https://www.cityofodenville.net/,Variety of daily programs consist of nutrition health education &amp; entertainment,,Nutrition; Health Education; Entertainment; Transportation; Ceramic Classes; Exercise; Meals,60+ years,Mon - Fri: 7:30 am - 12:30 pm
Oneonta Senior Center,101 1st Avenue EastOneonta AL 35121,(205) 625-4476,,NOMAIL,"data-table",,,Congregate Meals; Home Delivered Meals; Activities,,Mon - Fri: 8:00 am - 1:00 pm
Opelika Senior Center,201 Samford WayOpelika AL 36801,(334) 745-2679,Gwendolyn Baker,NOMAIL,http://www.lrcog.com/,Centers serve as a community focal point where an array of services and programs can be channeled to individuals who are 60 or older. The service is free but donations are accepted.,,Social Activities; Nutrition Education; Health Counseling; Consumer Education; Recreation and Exercise; Hot Meals; Information and Referral,60+ years,
Opp Adult Activity Center,500 North Brantley StreetOpp AL 36467,(334) 493-2122,Pam Potter,pamg@cityofopp.com,http://www.cityofopp.com,At the Opp Adult Activity Center adults are given the opportunity to play dominoes cards board games and bingo or participate in an exercise program dance classes luncheons and parties. They can join in on craft class to learn scarf making wreath making or take a sewing or quilting class. We offer lots of different and fun things each month.,,Dominoes; Cards; Board Games; Bingo; Exercise Program; Dance Classes; Luncheons; Parties; Craft Classes,,Mon - Fri: 8:00 am - 4:00 pm
Orange Beach Adult/Senior Center,26251 Canal RoadOrange Beach AL 36561,(251) 981-3440,Carolyn Vines,NOMAIL,https://orangebeachal.gov/,The Orange Beach Adult Activity Center opened January 2003. The center is located adjacent to the Orange Beach Library. Amenities include arts and crafts game room multi-purpose room and a screened porch overlooking Wolf Bay. Senior adult programs are offered throughout the year by professional staff,,Blood Pressure Checks; Exercise Classes; Bridge; Dominoes; Hand &amp; Foot Canasta; Mah Jongs; Line Dancing; Arts &amp; Crafts,,
Oxford Senior Citizen Center,424 Main StreetOxford AL 36203,(256) 831-5900,Anita Collier,NOMAIL,http://www.oxfordpard.com,Seniors from Oxford attend the center daily to play cards dominoes various types of puzzles and trivia games. They also do crafts and listen to speakers with seniors' interest in mind and to socialize. Lunch meals are provided through a state-wide program through East Alabama Planning and Development Commission. Meals are $1.00 per day-donations only. Free breakfast is served on Friday morning sponsored by area businesses. At least monthly there is a dinner outing for the seniors who attend the center with Oxford providing transportation. There are approximately 35-40 who attend daily and approximately 40 home-bound meals delivered to seniors within the Oxford city limits. The Senior Citizen Center has various events going on daily. These events and activities got a holistic approach to help senior adults with their good quality of life. The center offers public nutrition and health education for mental and emotional gain. Additionally the center involves its participants in different types of exercises designed to increase their physical abilities. The Senior Citizen Center offers a grief support group on Mondays and assists seniors with counseling resources and information. The center also strives to involve the local community including Oxford businesses.,,Cards; Dominoes; Various Types of Puzzles; Trivia Games Lunch Meals; Free Breakfast is served on Friday morning; Dinner Outing for the seniors who attend The Center with Oxford providing transportation; Home-Bound meals; Public Nutrition and Health Education for Mental and Emotional Gain; Exercises; Grief Support Group,,
Ozark/Dale County Senior Center,502 Carroll AvenueOzark AL 36360,(334) 445-6900,Angie Kelly,scc@ozarkalabama.us,http://www.ozarkalabama.us,The Senior Center offers a variety of activities on a daily and weekly basis.,,Arts &amp; Crafts; Quilting; Bingo; Dominoes; Bridge; Puzzles; Lunches,,Mon - Fri: 7:30 am - 4:30 pm
Paint Rock Senior Center,334 Church StreetPaint Rock AL 35764,(256) 776-9874,Rhonda Atchley,NOMAIL,https://www.jccoa.com/,Monday through Friday six senior centers in Bridgeport Bryant Paint Rock Pisgah Scottsboro and Stevenson offer recreation socialization health information exercise and lunch for individuals 60 years of age or older and their spouses regardless of age.,,Recreation Socialization Health Information Exercise Lunch,60+ years,Mon - Fri
Parrish Senior Center,1300 Main DriveParrish AL 35580,(205) 686-9996,,NOMAIL,"data-table",,,Congregate Meals; Home Delivered Meals; Activities,,
Pelham Senior Center,50 Racquet Club ParkwayPelham AL 35124,(205) 620-6064,Regina Jimenez,NOMAIL,http://www.pelhamlibrary.com,The Pelham Senior Center is provided by the City of Pelham under the direction of the Pelham Public Library. All programs are open to all area seniors.,,Guest Speakers; Musical Programs; Bingo; Games; Trips; Craft Programs; Sewing and Needlecrafts; A Book Club; Movies; Line Dancing; Bridge; Art Classes,55+ years,Mon - Fri: 10:00 am - 3:00 pm
Pell City Senior Center,801 Comer AvenuePell City AL 35125,(205) 338-6589,Kristin Copeland,kcopeland@cityofpellcity.net,https://pell-city.com/,The Senior Center program offers hot lunches chair aerobics line dancing table games pool tables shopping and various day trips. Come spend the day with us and have some fun!!!,,Hot Lunches; Chair Aerobics; Line Dancing; Table Games; Pool Tables Ceramics; Shopping and Various Day Trips,55+ years,Mon-Fri: 8:00 am - 4:00 pm
Central Activity Center,1500 14th StreetPhenix City AL 36869,(334) 291-4743,,NOMAIL,https://phenixcityal.us/,The Central Activity Center has many events and activities designed for adults and seniors ages 50+. The membership fee is $10 with a renewal date of October 1 each year. There are also a number of community events held at the Central Activity Center for people of all ages.,The membership fee is $10 with a renewal date of October 1 each year.,Art Classes; Card Games; Ceramics; Dominoes; Exercise Classes; Farmer’s Market; Line Dancing; Ping Pong; Pool Play; Quilting; Walk to Music,50+ years,Mon - Fri: 8:00 am - 5:00 pm
Piedmont Senior Center,612 Calhoun StreetPiedmont AL 36272,(256) 447-3365,Diane Murphy,NOMAIL,"data-table",,,,,
Mt Meigs Senior Center,836 Gibbs RdPike Road AL 36064,(334) 215-1806,,NOMAIL,"data-table",,,,,
Pine Apple Senior Center,867 Co Rd 59Pine Apple AL 36768,(334) 746-2166,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Pine Hill Senior Center,517 Oak Grove StPine Hill AL 36769,(334) 963-4097,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Clay Senior Activity Center,6415 Clay Palmerdale RoadPinson AL 35126,(205) 681-0238,Beth Petty,NOMAIL,http://www.clayalabama.org,The Clay Senior Activity Center attracts seniors from Clay and surrounding communities with a wide variety of activities entertainment and trips. The center provides a place where every member feels happy safe and loved. We think of each other as family. Some come to learn more about computers some come to socialize and some come to beat their peers at a game of cards or bingo. A pool table and exercise equipment are available for our seniors’ enjoyment. We also provide education and group discussions of issues our members are concerned about such as Medicare nutrition healthcare medication fraud and scams and many others. Average attendance each day is 30. We are thriving and changing and growing to better meet the needs of our growing community. The city of Clay works in cooperation with the Alabama Department of Senior Services in operating the center. The city’s Seniors Advisory Committee discusses matters related to the center and makes recommendations to the directors.,There is no cost to becoming a member. People 60 years of age or older who live in Jefferson County can become members. Seniors with limitations may become members and attend our activities if we determine in an evaluation that we can accommodate the senior’s needs. In some cases we will encourage a family member or caregiver to accompany the senior to the center. Visitors are welcome. In addition to the free games entertainment fellowship and education members at the center are offered a hot lunch every day the center is open. A $1.50 donation is suggested for the lunch. Members may join our day or overnight trips for an additional cost.,Nutritional Information; Board Games; Bingo; Bridge; Blood Pressure Check; Chair Exercise; Canasta; Trips; Hot Lunch; Transportation,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Pisgah Senior Citizens Center,25 Metcalf StreetPisgah AL 35765,(256) 451-3033,Glenda Shiflett,NOMAIL,https://www.jccoa.com/,Monday through Friday six senior centers in Bridgeport Bryant Paint Rock Pisgah Scottsboro and Stevenson offer recreation socialization health information exercise and lunch for individuals 60 years of age or older and their spouses regardless of age.,,Recreation Socialization Health Information Exercise Lunch,60+ years,Mon - Fri
Lewis Gillespie Senior Center,332 Doster RoadPrattville AL 36067,(334) 595-0840,,NOMAIL,http://www.prattvilleal.gov,Nutrition site games crafts dances exercise classes day-trips. All activities are designed with the senior adult in mind. Retired and Senior Volunteer Program (RSVP) office is also in this facility,,Dominoes; Mexican Dominoes; Rook; Pinochle; Canasta; Bingo; Computer Classes; Meals; Trips; Silver Sneakers; Arthritic Exercise; Bowling; Bridge Club; Exercise; Fountain City Quilt Group; Line Dancing,50+ years,
Mt. Sinai Senior Center,1820 County Road 57Prattville AL 36067,(334) 361-0763,Arthurine Smith,NOMAIL,http://www.autaugaco.org,The Department of Senior Services is located in the Governmental Building 218 North Court Street where we provide information and assistance for all senior citizens in the area. The Department encompasses four senior centers where seniors may enjoy a nutritional lunch Monday-Friday information on important senior topics socialization and many activities which will enrich the lives of seniors in the area.,,Nutritional Lunch; Information On Important Senior Topics; Socialization; Activities,60+ years,
Ragland Senior Center,220 Fredia St Ste 103Ragland AL 35131,(205) 472-2177,Kendra Crowe,NOMAIL,http://www.townofragland.org/,,,Congregate Meals; Home Delivered Meals; Activities,,Mon - Fri: 8:00 am - 1:00 pm
Rainsville Senior Center,115 Main Street WRainsville AL 35986,(256) 638-4343,Rhonda Jo Miller,NOMAIL,http://rainsvillealabama.com/,Opened in December 1993 the TBEC is one of the most utilized facilities in the area averaging over 350 events per year including. It is home to the Rainsville Senior Center on weekday mornings and is an active event venue on evenings and weekends. Reunions banquets receptions and concerts are held there regularly.,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Dublin Senior Center,299 Huffman RdRamer AL 36069,(334) 562-3762,,NOMAIL,"data-table",,,,,
Ranburne Senior Center,21383 Main StRanburne AL 36279,(256) 568-5726,Sherry Buchanan,NOMAIL,"data-table",,,,,
Red Bay Senior Center,115 5th Avenue SWRed Bay AL 35582,(256) 356-9450,Mary Ellen Collum,seniorcitizencenter@yahoo.com,http://cityofredbay.org/,Staying active and being a part of a vibrant community are some of the keys to a long and enjoyable life. Located next to Bay Tree Park at the corner of on 5th Ave S. and 2nd Street our Senior Citizen Center is a place to come together for fun activities and fellowship to promote the growth of our community.,,Education; Recreation; Health and Nutrition,60+ years,Mon - Fri: 9:00 am - 1:00 pm
Reform Senior Activity Center,213 7th Ave. SWReform AL 35481,(205) 375-2514,Tina Morgan,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:30 am - 12:30 pm
Roanoke Senior Center,500 West Point StreetRoanoke AL 36274,(334) 863-4217,Joyce Hancock,NOMAIL,http://roanokealabama.org,The Senior Center of Roanoke offers several programs.,,Senior Meal Program; Senior exercise program; Free tax Aid for seniors; The masters Games of Alabama; May Day Senior Celebration,,
G.P. Thames Senior Citizens Center,22651 E. Chicago StreetRobertsdale AL 36567,(251) 947-8973,Amy Ochello,amyochello@robertsdale.org,http://www.robertsdale.org,,,,55 and over,8:00am-4:00pm
Rockford Senior Center,9577 Hwy 231Rockford AL 35136,(256) 377-4888,Brenda Oden,NOMAIL,http://www.coosacountyal.com/,Coosa County Senior Centers offer a wide selection of daily events and activities classes fitness and wellness programs. The Senior Centers are great places for fun exercise activities wellness programs and camaraderie. Visit us to relax socialize and immerse yourself in wellness creativity intellectual stimulation volunteerism and community.,,Exercise Activities Wellness Programs,,
Rogersville Multi-Purpose Senior Center,200 Dement StreetRogersville AL 35652,(256) 247-5214,Shelby Corum,NOMAIL,"data-table",,,,60+ years,Mon - Fri: 7:30 am - 12:30 pm
Russellville Senior Center/A.W. Todd Ctr,205 Montgomery StreetRussellville AL 35653,(256) 332-8780,Cathye Garrison,NOMAIL,"data-table",,,,60+ years,Mon - Fri: 8:00 am - 2:00 pm
St. Stephens Senior Center,19491 Co Rd 34Saint Stephens AL 36569,(251) 246-7774,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Samson Senior Center,33 E Sellers StreetSamson AL 36477,(334) 898-2163,Sherry Baine,samsonsc@panhandle.rr.com,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Bingo; Quilting; Exercise; Watch TV; Monthly Field Trip; Senior Day; Older American's Day,60+ years,Mon - Fri: 7:30 am - 1:30 pm
Saraland Senior Citizen Center,712 Mae StreetSaraland AL 36571,(251) 375-5439,Lorine May,NOMAIL,http://saraland.org/,The primary purpose for the senior center is to provide recreation resources and opportunities in order to improve health and well being of people ages 55 and up. As the availability and importance of leisure increases in today's lifestyle so does its potential for waste and boredom. A person's use of their leisure time is important. The capacity to enjoy life and to maintain self esteem is vital to the well being of all people. The goal of recreation is the creative development of an individual's potential for self-sufficiency enrichment and quality of life. We have a variety of activities going on each month that we would love for you to be a part of!,Programs are provided free of charge. There may be a small fee for breakfasts and special events.,Health Seminar; Cooking and Sewing Classes; Arts &amp; Crafts; Dominoes and Board Games; Bingo;Transportation; Quilting; Strength and Balance Excercise Class; Fitness Room,55+ years,Mon - Fri: 8:00 am - 5:00 pm
Sardis City Senior Center,296 Parkway DriveSardis City AL 35956,(256) 593-6432,Joe Taruin,NOMAIL,"data-table",,,,,
Scottsboro Senior Center,132 Rita Williams DriveScottsboro AL 35769,(256) 574-6623,Valerie Rousseau,NOMAIL,https://www.jccoa.com/,Monday through Friday six senior centers in Bridgeport Bryant Paint Rock Pisgah Scottsboro and Stevenson offer recreation socialization health information exercise and lunch for individuals 60 years of age or older and their spouses regardless of age.,,Book Sale; Bingo; Cards; Lunch; Exercise for Arthritics; Bridge; Hand &amp; Foot; Birthday Bingo; Bunco; Fun Friday,60+ years,Mon - Fri
Broad St. Senior Center,301 Broad StSelma AL 36701,(334) 875-6751,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Martin Luther King St. Senior Center,414 Martin Luther King StSelma AL 36701,(334) 874-6908,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
Sheffield Senior Center,303 E. 2nd StreetSheffield AL 35660,(256) 386-5636,Angie Roberts,NOMAIL,https://www.sheffieldalabama.org/,The Sheffield Senior Center is located at 303 E. 2nd Street Sheffield Alabama. The Center is open from 8:00 AM - 1:00 PM Monday thru Friday. They can be reached at 256-386-5636. We welcome all interested persons 60+ years of age to come and check us out. We are always open to new participants and new ideas. Lunch is served everyday for seniors 60+ years of age at 11:00 AM. The meals are provided by NACOLG's Area Agency on Aging. The meals are hot and nutritious. The cost of the meal is a $1.00 donation. There are no income requirements on the meals everyone 60+ years of age is invited to come participate in the meal and activities that are offered at the center. The seniors enjoy a variety of activities at the center. Some of the activities include Dominoes cards Bingo exercise crafts and health checks. There are also some events that are offered through the Area Agency on Aging several times throughout the year. These events include a Winter Ball that is held on the campus UNA Senior Appreciation Day Spring Park Picnic and more. Our goal at the center is to provide recreational and social outlets for the senior population in the City of Sheffield. We also want to provide a nutritional meal along with activities.,,Nutritional Meal; Dominoes; Cards; Bingo; Exercise; Crafts; Health Checks,60+ years,Mon - Fri: 8:00 am - 1:00 am
Prairie Farm Senior Center,45 Tysonville RoadShorter AL 36075,(334) 724-0814,,NOMAIL,"data-table",,,,,Mon - Fri: 9:00 am - 1:00 pm
Slocomb Senior Center,134 West Bateman AveSlocomb AL 36375,(334) 886-3115,Lorri Everett,egenevacosenior@centurytel.net,"data-table",,,Hot Meals; Home Delivered Meals; Transportation; Bingo; Dominoes; Fellowship; Group Singing; Quilting; Exercise Equipment Available; Christmas Party,60+ years,Mon - Fri: 8:00 am - 2:00 pm
Smiths Senior Center,3072 Lee Rd. 242Smiths Station AL 36877,(334) 297-9101,Johnnie McCory,NOMAIL,http://www.lrcog.com/,Centers serve as a community focal point where an array of services and programs can be channeled to individuals who are 60 or older. The service is free but donations are accepted.,,Social Activities; Nutrition Education; Health Counseling; Consumer Education; Recreation and Exercise; Hot Meals; Information and Referral,60+ years,
Snead Senior Center,268 Richman DriveSnead AL 35952,(205) 466-7628,,NOMAIL,"data-table",,,Congregate Meals; Home Delivered Meals; Activities,,Mon - Fri: 8:00 am - 1:00 pm
Florette Senior Center,61 Florette RoadSomerville AL 35670,(256) 778-7073,,NOMAIL,"data-table",,,,,
Somerville Senior Center,16 Senior LaneSomerville AL 35670,(256) 778-7643,,NOMAIL,http://www.co.morgan.al.us,Commission on Aging is a program designed to provide services for the senior citizens of Morgan County. The centers are open daily from 8am until 1pm. Lunch is served as part of a USDA Nutrition program for both the people that come to the centers and our homebound elderly each day. Anyone who is sixty years of age (or married to someone that is sixty years of age) is eligible to participate in the activities at the senior centers. Activities include games quilting puzzles day trips exercise classes and just about anything that the group wants to do. The environment is safe and friendly,,Meals; Games; Quilting; Puzzles; Day Trips; Exercise Classes,60+ years,Mon - Fri: 8:00 am - 1:00 pm
Springville Senior Center,209 Robinson StreetSpringville AL 35146,(205) 467-6022,Brenda Weimer,bweimer@cityofspringville.com,http://springvilleparksandrec.com/,The Mission of Springville Senior Center is to provide services and programs for senior adults that promote their well being support their independence and encourage their involvement in community life.,Free,Lunch; Ceramics; Yoga; Bingo etc.,,Mon - Fri: 8:00 am - 2:00 pm
Steele Senior Center,91 Hillview StreetSteele AL 35987,(256) 570-0452,Ruby Reynolds,NOMAIL,https://townofsteele.org/,,,Congregate Meals; Home Delivered Meals; Activities,,Mon - Fri: 8:00 am - 1:00 pm
Stevenson Senior Center,280 City Park RoadStevenson AL 35772,(256) 437-3015,Brenda Light,NOMAIL,https://www.jccoa.com/,Monday through Friday six senior centers in Bridgeport Bryant Paint Rock Pisgah Scottsboro and Stevenson offer recreation socialization health information exercise and lunch for individuals 60 years of age or older and their spouses regardless of age.,,Recreation Socialization Health Information Exercise Lunch,60+ years,Mon - Fri
Sulligent Senior Activity Center,211 Project StreetSulligent AL 35586,(205) 689-9482,Lou Nell Guyton,NOMAIL,"data-table",,,Meals; Nutrition Health and Public Education Programs and Activities,60+ years,Mon - Fri: 8:30 am - 12:30 pm
Sumiton Senior Center,193 Bryan RdSumiton AL 35148,(205) 648-0506,Joan Brasher,NOMAIL,http://www.thecityofsumiton.com,The Sumiton Senior Center is located on Bryan Road between highway 78 and Main Street Sumiton. From highway 78 you take a left at Pinnacle Bank and go a few hundred yards and you'll see the Senior Center on the right.,,,,
Summerdale Senior Center,300 West JacksonSummerdale AL 36580,(251) 989-6626,Heather deAngelo,NOMAIL,http://www.summerdaleal.com/,,,,,
Maxye Veazey Senior Adult Activity Center,2 West 8th StreetSylacauga AL 35150,(256) 401-0021,Sherry Vickers,NOMAIL,https://sylacaugaparksandrecreation.com/,The Maxye Veazey Senior Activity Center was opened in 2007 and is run by Senior Adult Director Sherry Vickers. The building is divided into rooms for quilting and meeting general assembly card and games sewing ceramics and exercise. All activities at the center are free of charge and are open to those who are 50 years of age and up. The center also participates in the Senior Nutrition program through East Alabama Commission and the Sylacauga City. The center is home to various clubs and organizations such as the Coosa Valley Quilting Guild Friendship Club Golden Keys Club Travel Club Presbyterian Ladies Bridge Looney Painters and Scrappy Seniors. A monthly information sheet is available at the center with details of special activities and day trips.,,Nutrition Program; Card and Games; Sewing; Ceramics; Exercise; Special Activities; Day Trips,50+ years,Mon - Fri: 7:30 am - 1:00 pm
Talladega Springs Wellness Center,32 Old Cedar Creek RoadSylacauga AL 35151,(256) 249-0802,Glenda Kelley,NOMAIL,"data-table",,,,,Mon - Fri: 9:00 am - 1:00 pm
West Coosa Senior Center,47 Coosa County Road 70Sylacauga AL 35151,(256) 249-2024,Laurie Yoder,NOMAIL,http://www.coosacountyal.com/,Coosa County Senior Centers offer a wide selection of daily events and activities classes fitness and wellness programs. The Senior Centers are great places for fun exercise activities wellness programs and camaraderie. Visit us to relax socialize and immerse yourself in wellness creativity intellectual stimulation volunteerism and community.,,Exercise Activities Wellness Programs,,Mon - Fri: 8:00 am - 2:00 pm
Talladega Senior Center,309 North MLK DriveTalladega AL 35160,(256) 761-0273,Sandra Cameron,NOMAIL,http://www.talladega.com/,,,,,
Tallassee Senior Center,445 Main StreetTallassee AL 36078,(334) 283-2766,Jahazel Hooks,tallasseeseniorcenter@gmail.com,http://www.tallassee-al.gov,It is the goal of the Senior Services Department to provide services so that older persons can live lives of dignity and independence through information on community services cost effective preservation practices and activities that will improve health and the quality of life. To provide innovative affordable options of care and support that will provide an array of choices about how and where to live.,,Games; Trips; Singing; Farmers Market Nutrition Program Vouchers; Home delivered meals; Nutritional meals serviced at Center; Information regarding: Legal Assistance Alabama Elder Law Helpline Yellow Dot Program Disaster Recovery Senior Wellness Program Medicare Fraud Prevention Insurance Counselling through the State Health Insurance Assistance Program and information regarding Senior Employment services,,Mon - Fri: 8:00 am - 1:00 pm; Tuesday Evening: 3:00 pm - 9:00 pm (Cards)
Wall Street Senior Center,415 Wall StreetTallassee AL 36078,(334) 283-8187,Jackie Haynes,NOMAIL,"data-table",,,,,
Tanner Senior Center,13589 Lucas Ferry RoadTanner AL 35671,(256) 230-6400,Shirley Yarbrough,NOMAIL,http://www.limestonecounty-al.gov,Senior Center hosts daily activities for seniors from 8:00 A.M. till Noon Monday through Friday. Hot lunchtime meals frozen Meals and Meals on Wheels come from this location,,Nutrition Services; Health Promotion/Fitness Programs; Transportation; Education Activities; Local Information/Referral Services; Arts &amp; Crafts,60+ years,Mon - Fri: 8:00 am - 12:00 pm
Taylor Senior Center,1457 S. State Highway 605Taylor AL 36301,(334) 677-5536,Amy Hurley,taylorscal@yahoo.com,https://www.cityoftaylor.org/,,,Hot Meals; Home Delivered Meals; Transportation; Dominoes; Field Trips; Monthly Eating Events; Rumikube; Line Dancing; Bible Study; Taylor Made Festival; Holiday Parties; Special Speakers,60+ years,Mon - Fri: 8:00 am - 2:00 pm
Thomasville Senior Center,145 Adams AvenueThomasville AL 36784,(334) 636-9007,,NOMAIL,"data-table",,,Nutrition Health and Education Programs,60+ years,
J.O. Colley Senior Complex,715 East Elm StreetTroy AL 36081,(334) 808-8500,Catherine Jordan,seniorcenter@troyal.gov,http://www.troyal.gov,Our Mission: “To provide comprehensive quality programs tailored to meet the needs of adults 50 years of age and older. Through our programs we have seen many lives changed for the better. We seek to provide an atmosphere where senior adults can live learn and laugh together,All persons 50 years of age and older are invited to join us for our programs and activities. We charge no dues or membership fees,Auxiliary Programs: Barbershop Quartet Flora Bunda Garden Club Master Gardeners T.O.P.S. Weight Watchers; Creative &amp; Artistic: Ceramics Crochet Painting Pottery Quilting Sewing Shirt Painting Smocking Stained Glass; General Programs: Advanced Computer Beginning Computer Bible Study Bingo Bridge Beginning Bridge Gardening Singles Social Puzzle &amp; Game Room; Health &amp; Fitness: Aerobics Ballroom Dancing Beginning Clogging Advanced Clogging Beginning Line Dancing Advanced Line Dancing Exercise Room Low Impact Exercise Saturday Night Dance Stretching Zumba Golden,50+ years,Mon - Thurs: 8:00 am - 5:00 pm; Fri: 8:00 am - 2:00 pm
Trussville Senior Activity Center,504 Cherokee DriveTrussville AL 35173,(205) 661-1714,,NOMAIL,http://www.trussvilleparks.org,The Trussville Senior Activity Center opened its doors on August 31 1999. Since that time the membership has grown to around 400 senior adults with many more each week. Open Monday through Friday from 8:30 a.m. until 4:30 p.m. we have prided ourselves on the fact that we offer “Something for Everyone” - everyone over 55 that is and feel that our Senior Center is among the top in the state of Alabama.,,Parties; Pool Tournaments; Exercise Classes; Senior Trips; Ballroom Dance Lessons; Line Dancing; Bible Study; Card Games: Bridge Hand Foot Rook; Lunch Program; Diabetes Workshop; Health Fair; Birthday and Bingo; Fall Festival; Quilting,55+ years,Mon - Fri: 8:30 am - 4:30 pm
